filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files\STAT_A_EN_uncorrected\645.txt,1,44,3,25,3,86,5,39,5,0.45,0.13,0.07,0.00,0.00,0.00,44,25,30.60,30.30,0.51,0.50,3.35,4.74,0.85,12.86,0.64,0.78,5.44,1.65,0.18,0.57,0.13,0.03,0.15
..\data\indiv_files\STAT_A_EN_uncorrected\642.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..\data\indiv_files\STAT_A_EN_uncorrected\703.txt,1,59,3,35,3,125,4,66,4,0.53,0.06,0.05,0.08,0.08,0.20,59,36,35.80,31.60,0.47,0.67,3.73,5.28,0.84,13.49,0.53,0.75,6.75,1.84,0.14,0.42,0.08,0.12,0.20
..\data\indiv_files\STAT_A_EN_uncorrected\517.txt,1,50,7,32,7,82,9,42,9,0.51,0.21,0.14,0.11,0.11,0.24,50,36,35.70,34.50,0.61,0.72,3.90,5.52,0.89,17.05,0.76,0.89,7.11,1.89,0.19,0.67,0.21,0.05,0.26
..\data\indiv_files\STAT_A_EN_uncorrected\592.txt,1,39,2,21,2,62,2,27,2,0.44,0.07,0.05,0.17,0.17,0.29,39,32,34.60,31.90,0.63,0.64,3.50,4.95,0.89,15.96,0.78,0.83,4.17,1.44,0.19,0.62,0.26,0.04,0.30
..\data\indiv_files\STAT_A_EN_uncorrected\651.txt,1,79,19,59,19,122,24,78,24,0.64,0.31,0.24,0.06,0.06,0.17,79,41,39.10,41.50,0.65,0.82,5.06,7.15,0.91,23.06,0.76,0.88,13.24,2.57,0.19,0.66,0.21,0.08,0.28
..\data\indiv_files\STAT_A_EN_uncorrected\545.txt,1,34,2,19,2,63,3,28,3,0.44,0.11,0.06,0.00,0.00,0.00,34,28,29.30,28.80,0.54,0.56,3.03,4.28,0.85,12.09,0.68,0.80,3.20,1.26,0.14,0.56,0.18,0.04,0.21
..\data\indiv_files\STAT_A_EN_uncorrected\661.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..\data\indiv_files\STAT_A_EN_uncorrected\610.txt,1,52,5,30,5,134,7,62,7,0.46,0.11,0.10,0.18,0.36,0.43,52,31,29.60,30.80,0.39,0.59,3.18,4.49,0.81,11.01,0.48,0.73,5.82,1.71,0.13,0.42,0.16,0.05,0.21
..\data\indiv_files\STAT_A_EN_uncorrected\654.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
