filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\804.txt,1,35,9,22,8,50,9,25,8,0.50,0.32,0.26,0.50,1.00,0.71,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.88,1.00,4.00,1.41,0.16,0.83,0.28,0.04,0.32
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\736.txt,1,30,7,20,7,50,9,30,9,0.60,0.30,0.23,0.00,0.00,0.00,30,30,30.00,30.00,0.60,0.60,3.00,4.24,0.87,13.01,0.67,0.75,2.25,1.06,0.10,0.65,0.13,0.07,0.20
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\712.txt,1,40,6,22,6,50,7,25,7,0.50,0.28,0.15,0.00,0.00,0.00,40,40,40.00,40.00,0.80,0.80,4.00,5.66,0.94,29.79,0.88,1.00,3.00,1.22,0.12,0.81,0.24,0.00,0.24
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\565.txt,1,35,3,20,3,50,3,24,3,0.48,0.12,0.09,0.25,0.25,0.35,35,35,35.00,35.00,0.70,0.70,3.50,4.95,0.91,18.63,0.83,1.00,4.00,1.41,0.17,0.73,0.12,0.08,0.21
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\625.txt,1,37,7,24,7,50,7,28,7,0.56,0.25,0.19,0.00,0.00,0.00,37,37,37.00,37.00,0.74,0.74,3.70,5.23,0.92,22.07,0.86,1.00,4.00,1.41,0.14,0.77,0.32,0.07,0.39
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\901.txt,1,28,7,17,7,50,9,26,9,0.52,0.35,0.25,0.50,1.00,0.71,28,28,28.00,28.00,0.56,0.56,2.80,3.96,0.85,11.46,0.65,1.00,4.00,1.41,0.15,0.56,0.15,0.00,0.15
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\733.txt,1,40,7,24,7,50,7,26,7,0.52,0.27,0.17,0.14,0.14,0.27,40,40,40.00,40.00,0.80,0.80,4.00,5.66,0.94,29.79,0.92,1.00,7.00,1.87,0.27,0.82,0.23,0.08,0.31
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\522.txt,1,30,5,20,4,50,6,27,5,0.54,0.19,0.17,0.00,0.00,0.00,30,30,30.00,30.00,0.60,0.60,3.00,4.24,0.87,13.01,0.74,0.86,5.14,1.60,0.22,0.64,0.15,0.04,0.19
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\590.txt,1,28,4,16,4,50,6,26,6,0.52,0.23,0.14,0.00,0.00,0.00,28,28,28.00,28.00,0.56,0.56,2.80,3.96,0.85,11.46,0.62,0.83,4.17,1.44,0.19,0.47,0.15,0.00,0.15
..\data\indiv_files_fixed_length\AIP_A_EN_uncorrected\779.txt,1,31,4,18,4,50,7,28,7,0.56,0.25,0.13,0.20,0.20,0.32,31,31,31.00,31.00,0.62,0.62,3.10,4.38,0.88,13.90,0.64,1.00,5.00,1.58,0.18,0.50,0.11,0.00,0.11
