SubjectCode	Gender	Track	Natio1	TrackNatio1	DropOut	DropOutBinary	SchoolMean	SchoolDutch	SchoolEnglish	CoursesOutsideProgramme	Exemption	PassedBSA	Course1_Grade	Course2_Grade	Course3_Grade	Course4_Grade	Course5_Grade	Course6_Grade	Course7_Grade	Course8_Grade	Course9_Grade	Course10_Grade	Course11_Grade	Course12_Grade	Course13_Grade	Course1_EC_Worth	Course2_EC_Worth	Course3_EC_Worth	Course4_EC_Worth	Course5_EC_Worth	Course6_EC_Worth	Course7_EC_Worth	Course8_EC_Worth	Course9_EC_Worth	Course10_EC_Worth	Course11_EC_Worth	Course12_EC_Worth	Course13_EC_Worth
187	V	NL	DU	DU_in_NL	No	0				0	0	Yes	7	7	4	6	7	7.5	7.5	8.5	4	7	6	7.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
188	V	NL	DU	DU_in_NL	No	0				0	0	Yes	6	8.5	6.5	6.5	7.5	6.5	7	8.5	8	7	6.5	6.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
189	M	NL	NL	NL_in_NL	No	0	6.67	6	6	0	0	Yes	6.5	6.5	7	6	7.5	6.5	6	8.5	7	7	6	5	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
190	V	NL	NL	NL_in_NL	DuringYear1	1	6.64	7	6	0	0	No	7.5	6	NA	2.5	8.5	NA	6	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
191	V	NL	NL	NL_in_NL	No	0	6.92	6	7	0	0	Yes	7	8.5	7.5	7.5	8	7	9.5	9.5	8	7	7	6	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
192	V	NL	NL	NL_in_NL	DuringYear1	1	6.36	6	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
193	V	NL	NL	NL_in_NL	No	0	6.27	6	7	0	0	Yes	7	6	8	4.5	7.5	5	7	7.5	7	7	6	5	6	5	5	6	3	3	3	4	6	6	1	6	6	6
194	V	NL	NL	NL_in_NL	No	0	6.38	6	6	0	0	Yes	7	8.5	8	7	6.5	7	8.5	7	7.5	7	7	7.5	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
195	V	NL	NL	NL_in_NL	No	0	6.50	6	7	0	0	Yes	6.5	6	7	7	6.5	7	6	6.5	7	7	5	5	7	5	5	6	3	3	3	4	6	6	1	6	6	6
196	V	NL	NL	NL_in_NL	No	0	6.33	6	7	0	0	Yes	6.5	8	7	7	6	8	8	8	7	7	6.5	6.5	7	5	5	6	3	3	3	4	6	6	1	6	6	6
197	V	NL	DU	DU_in_NL	No	0				0	0	Yes	7	9	7.5	8	8	7	8	9	7.5	7	6.5	8	9.5	5	5	6	3	3	3	4	6	6	1	6	6	6
198	V	NL	NL	NL_in_NL	No	0	7.27	8	9	0	0	Yes	6	7.5	7.5	8	7	6.5	7.5	6.5	7	7	6	6.5	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
199	V	NL	DU	DU_in_NL	No	0				0	0	Yes	6.5	9	6.5	6	6.5	7.5	6	7.5	7	7	6.5	7	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
200	V	NL	NL	NL_in_NL	No	0	7.64	7	7	0	0	Yes	7.5	8	7	8.5	8.5	6.5	7.5	8.5	6.5	7	8.5	7.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
201	V	NL	NL	NL_in_NL	No	0	6.91	6	7	0	0	Yes	5	7	6.5	6	6.5	8.5	6.5	7	4	NA	7	6.5	7	5	5	6	3	3	3	4	6	6	1	6	6	6
202	V	NL	NL	NL_in_NL	No	0	6.58	7	7	0	0	Yes	7	6	6.5	6.5	8.5	8	8	8	7	7	7	7.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
