"SubjectCode"	"Gender"	"Track"	"Nationality"	"Group"	"DropOut"	"DropOutBinary"	"SchoolMean"	"SchoolDutch"	"SchoolEnglish"	"CoursesOutsideProgramme"	"Exemption"	"PassedBSA"	"EC_Obtained"	"Weighted_Grade"	"EC_Taken"	"Mean_Grade"	"LD"	"LS"	"LV"	"Course1_Grade"	"Course2_Grade"	"Course3_Grade"	"Course4_Grade"	"Course5_Grade"	"Course6_Grade"	"Course7_Grade"	"Course8_Grade"	"Course9_Grade"	"Course10_Grade"	"Course11_Grade"	"Course12_Grade"	"Course13_Grade"	"Course1_EC_Worth"	"Course2_EC_Worth"	"Course3_EC_Worth"	"Course4_EC_Worth"	"Course5_EC_Worth"	"Course6_EC_Worth"	"Course7_EC_Worth"	"Course8_EC_Worth"	"Course9_EC_Worth"	"Course10_EC_Worth"	"Course11_EC_Worth"	"Course12_EC_Worth"	"Course13_EC_Worth"	"Course1_EC_Obtained"	"Course2_EC_Obtained"	"Course3_EC_Obtained"	"Course4_EC_Obtained"	"Course5_EC_Obtained"	"Course6_EC_Obtained"	"Course7_EC_Obtained"	"Course8_EC_Obtained"	"Course9_EC_Obtained"	"Course10_EC_Obtained"	"Course11_EC_Obtained"	"Course12_EC_Obtained"	"Course13_EC_Obtained"	"Course1_Weighted"	"Course2_Weighted"	"Course3_Weighted"	"Course4_Weighted"	"Course5_Weighted"	"Course6_Weighted"	"Course7_Weighted"	"Course8_Weighted"	"Course9_Weighted"	"Course10_Weighted"	"Course11_Weighted"	"Course12_Weighted"	"Course13_Weighted"	"Course1_Passed"	"Course2_Passed"	"Course3_Passed"	"Course4_Passed"	"Course5_Passed"	"Course6_Passed"	"Course7_Passed"	"Course8_Passed"	"Course9_Passed"	"Course10_Passed"	"Course11_Passed"	"Course12_Passed"	"Course13_Passed"
521	"M"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	445	60	7.41666666666667	0.526666666666667	0.2	17.7233333333333	6.5	7	8	6	9.5	7	6	8	7.5	7	7	7.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	32.5	35	48	18	28.5	21	24	48	45	7	42	45	51	1	1	1	1	1	1	1	1	1	1	1	1	1
522	"V"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"No"	0	95.5	26	3.67307692307692	NA	NA	NA	2	3.5	4	3.5	4.5	NA	5	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17.5	24	10.5	13.5	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
523	"M"	"English"	"Dutch"	"Dutch in English track"	"No"	0	6.8	7	8	1	0	"Yes"	60	434.5	60	7.24166666666667	0.56	0.136666666666667	17.6566666666667	7	8	6.5	7	8	7.5	6	7.5	7	7	6.5	8	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	35	40	39	21	24	22.5	24	45	42	7	39	48	48	1	1	1	1	1	1	1	1	1	1	1	1	1
524	"M"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"No"	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
525	"V"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"No"	36	322	60	5.36666666666667	NA	NA	NA	7	6	7.5	6	6	7	7	2	4	7	2.5	4	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	0	0	1	0	0	6	35	30	45	18	18	21	28	12	24	7	15	24	45	1	1	1	1	1	1	1	0	0	1	0	0	1
526	"M"	"English"	"German"	"German in English track"	"AfterYear1"	1	NA	NA	NA	0	0	"No"	4	96	24	4	NA	NA	NA	4.5	NA	5	NA	4.5	NA	6	1	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	0	0	0	0	0	0	4	0	0	0	0	0	0	22.5	0	30	0	13.5	0	24	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
527	"V"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	428	60	7.13333333333333	0.483333333333333	0.08	17.1966666666667	6	7	7.5	6.5	7.5	7	6.5	9	7	7	6	7	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	30	35	45	19.5	22.5	21	26	54	42	7	36	42	48	1	1	1	1	1	1	1	1	1	1	1	1	1
528	"V"	"English"	"German"	"German in English track"	"DuringYear1"	1	NA	NA	NA	0	0	"No"	0	49.5	15	3.3	NA	NA	NA	1.5	NA	4	NA	NA	NA	4.5	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	24	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
529	"M"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	56	422	59	7.15254237288136	NA	NA	NA	6.5	8	8	6.5	10	4	9	6.5	7	NA	7	6	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	0	4	6	6	0	6	6	6	32.5	40	48	19.5	30	12	36	39	42	0	42	36	45	1	1	1	1	1	0	1	1	1	0	1	1	1
531	"V"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	48	387.5	60	6.45833333333333	0.503333333333333	0.0966666666666667	17.3033333333333	6.5	8	6	6	8	8	6.5	7.5	4	7	3	7	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	0	1	0	6	6	32.5	40	36	18	24	24	26	45	24	7	18	42	51	1	1	1	1	1	1	1	1	0	1	0	1	1
532	"V"	"English"	"Dutch"	"Dutch in English track"	"No"	0	7.08	7	7	0	0	"Yes"	60	441	60	7.35	NA	NA	NA	8	7	7	7	7	7	8	8	7	7	6	7.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	40	35	42	21	21	21	32	48	42	7	36	45	51	1	1	1	1	1	1	1	1	1	1	1	1	1
534	"V"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	444	60	7.4	0.506666666666667	0.136666666666667	17.0966666666667	6.5	8	6.5	7	10	7.5	7.5	7.5	7.5	7	7	6.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	32.5	40	39	21	30	22.5	30	45	45	7	42	39	51	1	1	1	1	1	1	1	1	1	1	1	1	1
535	"V"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	464	60	7.73333333333333	0.55	0.0966666666666667	17.59	6	8.5	7.5	8	9	6.5	8	7.5	7.5	7	8	8	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	30	42.5	45	24	27	19.5	32	45	45	7	48	48	51	1	1	1	1	1	1	1	1	1	1	1	1	1
536	"V"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	455.5	60	7.59166666666667	0.48	0.13	17.52	6.5	8	7.5	6.5	7	7.5	7	9	7.5	7	8	8	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	32.5	40	45	19.5	21	22.5	28	54	45	7	48	48	45	1	1	1	1	1	1	1	1	1	1	1	1	1
538	"V"	"English"	"German"	"German in English track"	"DuringYear1"	1	NA	NA	NA	0	0	"No"	3	100.5	23	4.3695652173913	NA	NA	NA	4.5	4	4	NA	6	NA	4	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	0	0	0	0	3	0	0	0	0	0	0	0	0	22.5	20	24	0	18	0	16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
539	"V"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	447.5	60	7.45833333333333	0.47	0.0933333333333333	17.4333333333333	7	8	8	7	9.5	7	7	7.5	7.5	7	6.5	6	9	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	35	40	48	21	28.5	21	28	45	45	7	39	36	54	1	1	1	1	1	1	1	1	1	1	1	1	1
542	"V"	"English"	"Dutch"	"Dutch in English track"	"AfterYear1"	1	6.43	6	7	0	0	"No"	0	56.5	15	3.76666666666667	NA	NA	NA	2.5	NA	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	24	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	"M"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	45	385	60	6.41666666666667	NA	NA	NA	6.5	6.5	7	4.5	8	7.5	7	5	7.5	7	3.5	7.5	7	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	0	3	3	4	0	6	1	0	6	6	32.5	32.5	42	13.5	24	22.5	28	30	45	7	21	45	42	1	1	1	0	1	1	1	0	1	1	0	1	1
544	"V"	"English"	"German"	"German in English track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	480	60	8	0.476666666666667	0.113333333333333	17.2933333333333	7	9.5	8.5	7	10	7.5	8	7.5	8.5	7	6.5	8	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	3	3	3	4	6	6	1	6	6	6	35	47.5	51	21	30	22.5	32	45	51	7	39	48	51	1	1	1	1	1	1	1	1	1	1	1	1	1
545	"V"	"English"	"Dutch"	"Dutch in English track"	"No"	0	6.45	6	8	0	0	"Yes"	54	418	60	6.96666666666667	NA	NA	NA	6.5	7.5	7.5	5	7	4	6.5	8.5	7.5	7	6	7	8	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	6	0	3	0	4	6	6	1	6	6	6	32.5	37.5	45	15	21	12	26	51	45	7	36	42	48	1	1	1	0	1	0	1	1	1	1	1	1	1
546	"V"	"English"	"Dutch"	"Dutch in English track"	"No"	0	6.85	7	8	0	0	"Yes"	53	386.5	59	6.55084745762712	0.516666666666667	0.106666666666667	16.96	6	6.5	4	6.5	8.5	7	7.5	7.5	7	NA	6.5	6	7	5	5	6	3	3	3	4	6	6	1	6	6	6	5	5	0	3	3	3	4	6	6	0	6	6	6	30	32.5	24	19.5	25.5	21	30	45	42	0	39	36	42	1	1	0	1	1	1	1	1	1	0	1	1	1
