"SubjectCode"	"Gender"	"Track"	"Nationality"	"Group"	"DropOut"	"DropOutBinary"	"SchoolMean"	"SchoolDutch"	"SchoolEnglish"	"CoursesOutsideProgramme"	"Exemption"	"PassedBSA"	"EC_Obtained"	"Weighted_Grade"	"EC_Taken"	"Mean_Grade"	"wordtokens_oct"	"ld_oct"	"ls2_oct"	"ndwesz_oct"	"wordtokens_feb"	"ld_feb"	"ls2_feb"	"ndwesz_feb"	"wordtokens_apr"	"ld_apr"	"ls2_apr"	"ndwesz_apr"	"grade_oct"	"grade_feb"	"grade_apr"
148	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.45	7	8	0	0	"No"	28	321	60	5.35	83	0.54	0.19	18.24	86	0.49	0.09	16.39	54	0.48	0.17	18.31	6	10	10
150	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.55	7	7	0	0	"Yes"	60	450.5	60	7.50833333333333	73	0.59	0.2	16.95	96	0.51	0.14	17.43	37	0.65	0.21	17.06	6	10	10
152	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.36	6	7	0	0	"Yes"	45	376.5	60	6.275	31	0.55	0.3	16.6	80	0.54	0.15	16.66	53	0.53	0.07	17.48	3	0	6
154	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.45	7	7	0	0	"Yes"	60	446.5	60	7.44166666666667	86	0.53	0.15	18.22	119	0.53	0.13	17.8	85	0.49	0.09	17.61	10	10	10
155	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.6	6	7	0	0	"Yes"	54	410.5	60	6.84166666666667	22	0.41	0.18	20	97	0.44	0.32	17.6	65	0.48	0.2	18.08	0	10	10
156	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	54	438	60	7.3	96	0.54	0.22	18.21	90	0.51	0.17	17	52	0.52	0.24	17.43	8	7	10
157	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.27	7	6	0	0	"Yes"	54	428.5	60	7.14166666666667	68	0.49	0.16	18.53	64	0.48	0.13	17.36	25	0.64	0.12	19	4	7	10
159	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	480	60	8	98	0.57	0.18	16.37	98	0.53	0.25	17.49	53	0.57	0.19	17.04	8	10	10
160	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6	6	6	0	0	"Yes"	42	320	42	7.61904761904762	90	0.58	0.23	17.79	154	0.49	0.11	16.47	46	0.54	0.21	18.78	4	10	10
161	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	463.5	60	7.725	136	0.54	0.16	18	134	0.51	0.12	17.38	42	0.52	0.24	17.48	10	10	6
