SubjectCode,Gender,Track,Natio1,TrackNatio1,DropOut,DropOutBinary,SchoolMean,SchoolDutch,SchoolEnglish,CoursesOutsideProgramme,Exemption,PassedBSA,Course1_Grade,Course2_Grade,Course3_Grade,Course4_Grade,Course5_Grade,Course6_Grade,Course7_Grade,Course8_Grade,Course9_Grade,Course10_Grade,Course11_Grade,Course12_Grade,Course13_Grade,Course1_EC_Worth,Course2_EC_Worth,Course3_EC_Worth,Course4_EC_Worth,Course5_EC_Worth,Course6_EC_Worth,Course7_EC_Worth,Course8_EC_Worth,Course9_EC_Worth,Course10_EC_Worth,Course11_EC_Worth,Course12_EC_Worth,Course13_EC_Worth,wordtokens_oct,ld_oct,ls2_oct,ndwesz_oct,wordtokens_feb,ld_feb,ls2_feb,ndwesz_feb,wordtokens_apr,ld_apr,ls2_apr,ndwesz_apr
157,V,NL,NL,NL_in_NL,No,0,6.27,7.0,6,0,0,Yes,8.5,7.5,7.5,6.5,6.5,7.5,7.0,8.0,7.5,7.0,4.5,6.5,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,68.0,0.49,0.16,18.53,64.0,0.48,0.13,17.36,25.0,0.64,0.12,19.0
159,V,NL,DU,DU_in_NL,No,0,,,,0,0,Yes,7.0,8.0,7.5,7.5,8.5,7.0,8.0,9.0,8.0,7.0,7.0,8.5,9.5,5,5,6,3,3,3,4,6,6,1,6,6,6,98.0,0.57,0.18,16.37,98.0,0.53,0.25,17.49,53.0,0.57,0.19,17.04
160,V,NL,NL,NL_in_NL,No,0,6.0,6.0,6,0,0,Yes,7.5,8.0,8.5,6.5,,,7.5,8.0,7.5,7.0,,,7.0,5,5,6,3,3,3,4,6,6,1,6,6,6,90.0,0.58,0.23,17.79,154.0,0.49,0.11,16.47,46.0,0.54,0.21,18.78
161,V,NL,DU,DU_in_NL,No,0,,,,0,0,Yes,6.5,8.0,8.5,6.0,6.0,7.0,6.0,8.5,8.0,7.0,7.5,9.0,9.0,5,5,6,3,3,3,4,6,6,1,6,6,6,136.0,0.54,0.16,18.0,134.0,0.51,0.12,17.38,42.0,0.52,0.24,17.48
163,V,NL,NL,NL_in_NL,No,0,7.55,7.0,8,0,0,Yes,8.0,8.5,8.5,8.5,7.5,8.0,9.0,8.5,7.5,7.0,7.5,8.5,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,170.0,0.49,0.25,17.73,93.0,0.53,0.17,17.35,80.0,0.57,0.2,17.74
164,V,NL,NL,NL_in_NL,No,0,7.5,7.0,8,0,0,Yes,7.5,6.5,7.5,7.0,7.5,7.0,8.5,9.0,7.0,7.0,7.0,7.5,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,69.0,0.57,0.17,16.31,71.0,0.48,0.24,15.54,63.0,0.51,0.14,17.48
165,V,NL,NL,NL_in_NL,No,0,6.58,6.0,6,0,0,No,6.0,4.0,4.0,4.0,6.0,7.5,6.0,8.0,7.0,7.0,6.0,4.5,6.5,5,5,6,3,3,3,4,6,6,1,6,6,6,98.0,0.46,0.2,16.36,123.0,0.51,0.19,16.95,49.0,0.51,0.14,17.69
166,V,NL,NL,NL_in_NL,No,0,8.15,7.0,8,0,0,Yes,9.0,9.0,8.0,9.0,8.5,7.5,8.5,9.5,7.5,7.0,9.0,9.5,9.0,5,5,6,3,3,3,4,6,6,1,6,6,6,77.0,0.57,0.16,18.05,167.0,0.47,0.12,16.32,46.0,0.52,0.14,15.46
167,V,NL,DU,DU_in_NL,AfterYear1,1,,,,0,0,Yes,8.0,9.5,8.0,8.5,8.5,7.0,8.0,9.0,7.5,7.0,9.0,8.0,9.0,5,5,6,3,3,3,4,6,6,1,6,6,6,80.0,0.62,0.2,17.99,54.0,0.48,0.31,17.63,48.0,0.54,0.19,18.21
170,V,NL,NL,NL_in_NL,No,0,7.27,7.0,7,0,0,Yes,7.5,8.5,7.5,7.0,8.5,8.5,9.0,9.0,7.5,7.0,7.5,7.5,9.0,5,5,6,3,3,3,4,6,6,1,6,6,6,52.0,0.58,0.13,16.57,119.0,0.55,0.17,16.33,56.0,0.55,0.17,17.76
173,V,NL,DU,DU_in_NL,AfterYear1,1,,,,0,0,Yes,7.5,8.0,8.5,6.0,7.0,4.0,7.5,7.5,,7.0,6.0,6.5,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,130.0,0.52,0.21,17.32,78.0,0.44,0.17,17.36,76.0,0.43,0.2,17.42
174,V,NL,NL,NL_in_NL,No,0,6.56,6.0,7,0,0,Yes,6.5,8.0,8.0,7.5,9.0,8.0,9.0,8.5,7.5,7.0,7.0,6.5,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,59.0,0.49,0.11,16.52,158.0,0.49,0.12,17.31,60.0,0.5,0.16,18.88
175,V,NL,NL,NL_in_NL,No,0,6.36,6.0,6,0,0,No,5.0,7.5,7.5,5.0,7.5,6.5,6.0,6.5,6.5,7.0,4.5,4.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,102.0,0.49,0.18,17.18,73.0,0.52,0.21,18.32,68.0,0.56,0.18,18.67
177,V,NL,NL,NL_in_NL,No,0,6.36,6.0,6,0,0,Yes,6.0,6.5,5.0,6.5,6.5,6.0,6.5,8.0,7.0,7.0,4.5,6.0,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,98.0,0.48,0.14,18.26,61.0,0.51,0.2,17.65,40.0,0.68,0.25,18.75
179,V,NL,NL,NL_in_NL,No,0,6.92,7.0,6,0,0,Yes,8.5,8.0,7.0,7.5,6.5,7.5,8.0,8.5,7.0,7.0,7.5,7.0,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,81.0,0.46,0.22,17.29,88.0,0.5,0.15,17.37,47.0,0.6,0.18,16.61
182,V,NL,NL,NL_in_NL,No,0,6.31,6.0,6,0,0,Yes,7.0,6.0,7.5,6.5,7.0,7.5,6.5,7.0,7.0,7.0,6.0,6.0,6.5,5,5,6,3,3,3,4,6,6,1,6,6,6,53.0,0.43,0.26,18.64,68.0,0.51,0.31,16.99,57.0,0.51,0.24,15.54
183,V,NL,DU,DU_in_NL,No,0,,,,0,0,Yes,6.5,8.5,7.5,8.0,7.0,7.5,8.0,8.0,7.5,7.0,7.5,6.5,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,48.0,0.54,0.18,16.75,70.0,0.49,0.17,16.35,80.0,0.55,0.11,17.12
185,M,NL,NL,NL_in_NL,No,0,6.1,6.0,6,0,0,Yes,6.5,7.5,7.5,7.5,6.5,8.0,7.0,8.0,6.5,7.0,7.5,8.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,48.0,0.52,0.18,16.87,126.0,0.52,0.12,17.13,46.0,0.5,0.18,18.85
186,M,NL,NL,NL_in_NL,No,0,6.25,6.0,7,0,0,Yes,7.5,7.5,7.5,6.0,7.0,6.5,8.0,7.5,6.5,7.0,6.5,6.0,7.0,5,5,6,3,3,3,4,6,6,1,6,6,6,43.0,0.51,0.19,17.5,60.0,0.48,0.16,16.91,67.0,0.52,0.23,19.0
191,V,NL,NL,NL_in_NL,No,0,6.92,6.0,7,0,0,Yes,7.0,8.5,7.5,7.5,8.0,7.0,9.5,9.5,8.0,7.0,7.0,6.0,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,147.0,0.43,0.14,16.49,131.0,0.51,0.1,16.8,60.0,0.5,0.2,16.78
193,V,NL,NL,NL_in_NL,No,0,6.27,6.0,7,0,0,Yes,7.0,6.0,8.0,4.5,7.5,5.0,7.0,7.5,7.0,7.0,6.0,5.0,6.0,5,5,6,3,3,3,4,6,6,1,6,6,6,32.0,0.59,0.33,11.93,55.0,0.62,0.2,17.22,43.0,0.67,0.24,17.66
194,V,NL,NL,NL_in_NL,No,0,6.38,6.0,6,0,0,Yes,7.0,8.5,8.0,7.0,6.5,7.0,8.5,7.0,7.5,7.0,7.0,7.5,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,163.0,0.5,0.14,17.74,107.0,0.5,0.1,14.79,51.0,0.61,0.26,17.6
